,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CCL18,1409.168551,0.579811009,0.343090153,1.689966922,0.091034283,0.99937919
RBM4B,3.28455073,2.196074113,1.301020862,1.687962259,0.091418474,0.99937919
TWF2,118.2691179,-0.429108525,0.254372497,-1.686929716,0.091616867,0.99937919
MED7,14.12175589,0.980117902,0.58102829,1.686867781,0.091628779,0.99937919
PDLIM1,78.63015483,-0.641611178,0.380701751,-1.685338133,0.091923353,0.99937919
CTSH,275.7179771,-0.486507338,0.288710449,-1.685104714,0.09196837,0.99937919
GOLM1,3.104068488,2.411588649,1.431835256,1.684264051,0.09213065,0.99937919
GPATCH11,34.11578889,-0.748002951,0.444196316,-1.683946766,0.092191957,0.99937919
DBF4,10.12418173,1.106414581,0.657740667,1.682144099,0.092540901,0.99937919
MAP3K6,2.017270193,2.700772266,1.60615846,1.68151047,0.092663805,0.99937919
CCNK,16.92666544,0.88291666,0.525779352,1.679253202,0.093102707,0.99937919
NR2C1,3.349484924,2.211982219,1.317315435,1.679159114,0.093121038,0.99937919
SLC25A12,4.856367854,-1.556698358,0.927498917,-1.678382939,0.093272366,0.99937919
USP33,23.33117758,0.77854417,0.464018912,1.677828534,0.093380577,0.99937919
RARA,34.63380584,-0.708130956,0.422144604,-1.677460637,0.093452441,0.99937919
GM2A,50.13863076,0.61605467,0.367513022,1.676279839,0.093683392,0.99937919
NUDT8,2.885697493,2.279256265,1.359878697,1.676073219,0.093723852,0.99937919
KCNQ1OT1,10.7730836,1.120971502,0.668916881,1.675800886,0.093777201,0.99937919
IL2RG,39.75442399,-0.612758877,0.365698572,-1.675584549,0.093819597,0.99937919
SLC16A7,1.935309997,2.660810311,1.588026645,1.67554513,0.093827324,0.99937919
HOXB6,2.353762561,-2.35194552,1.404614157,-1.674442415,0.094043683,0.99937919
UBE2W,31.29593289,0.714350782,0.42680931,1.673700092,0.094189556,0.99937919
NR4A3,3.129901048,2.369875108,1.415968146,1.673678264,0.094193848,0.99937919
EPS15,22.2842579,0.81904122,0.489699634,1.672537945,0.094418292,0.99937919
GIMAP1,32.24679344,-0.662615022,0.396192008,-1.672459335,0.09443378,0.99937919
WDR82,19.51345754,0.816202713,0.48849558,1.67084974,0.094751361,0.99937919
NR1D2,6.331499058,1.535977744,0.920105699,1.669349234,0.095048188,0.99937919
LSP1,107.765013,-0.456018593,0.273227983,-1.669003987,0.09511659,0.99937919
RPP21,10.66171385,-1.062633007,0.636915193,-1.668405808,0.095235196,0.99937919
PRKCE,2.217902875,2.616425633,1.568956195,1.66762185,0.095390818,0.99937919
ATP9B,19.29002555,0.871158512,0.522447883,1.66745534,0.095423898,0.99937919
LINC00607,3.27320778,2.221084424,1.332928979,1.666318656,0.095649963,0.99937919
LTA,0.872706707,-3.947658849,2.369217923,-1.666228678,0.095667876,0.99937919
OR52I1,0.872706707,-3.947658849,2.369217923,-1.666228678,0.095667876,0.99937919
LLGL1,0.872706707,-3.947658849,2.369217923,-1.666228678,0.095667876,0.99937919
PARD6B,0.872706707,-3.947658849,2.369217923,-1.666228678,0.095667876,0.99937919
GTSF1,3.437692195,-2.207492352,1.325099614,-1.66590672,0.095731995,0.99937919
MED23,7.308647532,1.320167966,0.793315086,1.664115544,0.096089341,0.99937919
AC110285.6,2.975270811,-2.298276529,1.381959444,-1.663056422,0.096301142,0.99937919
LPGAT1,24.50848034,-0.786021553,0.472849864,-1.66230682,0.096451271,0.99937919
DPYD,32.21914458,0.694241521,0.417744378,1.661881182,0.096536601,0.99937919
CENPT,7.35561038,-1.334261872,0.803378538,-1.660813438,0.096750921,0.99937919
PTTG1IP,125.4148787,-0.454262709,0.273531337,-1.660733696,0.096766943,0.99937919
SRSF7,91.54243586,-0.450450852,0.271269889,-1.660526543,0.096808573,0.99937919
ANKRD28,36.04502524,0.68246213,0.411424323,1.658779248,0.097160283,0.99937919
COMT,192.7628785,-0.397307197,0.239525569,-1.658725613,0.097171096,0.99937919
PTP4A1,24.36882982,0.751972031,0.453367145,1.658638124,0.097188735,0.99937919
APBB2,1.288118674,3.097399817,1.868087244,1.658059508,0.097305456,0.99937919
EPM2AIP1,6.678725835,1.354729408,0.81714544,1.6578804,0.097341609,0.99937919
ZSCAN9,2.36342848,-2.394414822,1.448709855,-1.652791146,0.098373377,0.99937919
NCS1,4.498690073,-1.735530307,1.050412629,-1.65223671,0.098486306,0.99937919
SRA1,49.42124455,-0.56320084,0.341206079,-1.650617835,0.098816635,0.99937919
EIF3F,102.4368577,-0.44900522,0.272158615,-1.649792416,0.0989854,0.99937919
MFHAS1,6.971230086,1.376321131,0.834297546,1.64967659,0.099009101,0.99937919
DCAF1,3.492110153,1.996013922,1.210388162,1.649069269,0.099133445,0.99937919
AGA,17.32849483,-0.841547515,0.510610727,-1.648119538,0.099328144,0.99937919
SLC20A2,4.598530411,-1.497382781,0.908582542,-1.648042651,0.099343919,0.99937919
Mar-08,2.164945052,2.595696267,1.575222709,1.647828115,0.099387948,0.99937919
XRN1,19.86027413,0.792411907,0.481010114,1.647391363,0.09947763,0.99937919
CD36,57.93986274,0.58184376,0.353387971,1.64647302,0.09966641,0.99937919
MAP3K2,61.68008079,0.520138137,0.315942833,1.646304594,0.099701064,0.99937919
MOB3C,4.1621366,-1.743814103,1.059673042,-1.645615236,0.099843,0.99937919
NONO,26.99740077,0.706359457,0.429542198,1.644447184,0.100083866,0.99937919
OAS1,56.72580997,-0.531056138,0.322978595,-1.644245615,0.100125478,0.99937919
SUMF1,11.5820879,1.057687139,0.643402663,1.643896116,0.100197663,0.99937919
GATAD2B,7.307380691,1.311853361,0.798430353,1.643040443,0.100374566,0.99937919
RAB11FIP1,142.868342,-0.435139768,0.264926598,-1.642491808,0.100488123,0.99937919
BRD1,19.01978496,-0.771207606,0.47000984,-1.640832895,0.100832108,0.99937919
CELF1,31.33074161,0.666252097,0.406060805,1.640769283,0.100845317,0.99937919
WTAP,36.73995714,0.614267953,0.374425424,1.640561548,0.100888462,0.99937919
CD44,377.5320561,0.361557012,0.220390098,1.640532013,0.100894598,0.99937919
AHCYL1,36.6176075,0.638611088,0.389559811,1.639314606,0.101147756,0.99937919
AC090517.4,1.111540824,-3.253693809,1.986599307,-1.637820872,0.101459066,0.99937919
HSD3B7,28.05827482,0.674919782,0.412130406,1.637636464,0.101497552,0.99937919
LINC01588,5.304808558,1.579292044,0.964579274,1.6372859,0.101570746,0.99937919
LCP1,235.0792402,0.450471488,0.27549489,1.635135548,0.102020636,0.99937919
GPX3,8.569163357,1.263710981,0.772886049,1.635054718,0.102037578,0.99937919
PAFAH1B1,53.3481359,-0.520396862,0.318316707,-1.634839926,0.102082609,0.99937919
NADK,13.66915974,0.962404807,0.588722992,1.634732838,0.102105065,0.99937919
