,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MRPS31,4.048030551,-1.284291057,1.049414603,-1.223816643,0.221021404,0.999736701
CHCHD7,3.768408454,-1.309983828,1.070902914,-1.223251716,0.221234638,0.999736701
TNFRSF1B,5.489084707,1.020192057,0.834207442,1.222947682,0.221349457,0.999736701
NUDCD3,1.907751227,-1.873364599,1.531980252,-1.222838608,0.22139066,0.999736701
ZDHHC24,1.699664195,4.234407235,3.46617015,1.221638596,0.221844326,0.999736701
MRPL20,9.322971352,-0.792179484,0.648633169,-1.221305852,0.221970239,0.999736701
ATP6V1H,1.577071179,2.044582298,1.674166747,1.221253679,0.221989986,0.999736701
CYTH1,6.923636914,-0.921494569,0.754619229,-1.221138468,0.222033597,0.999736701
CORO7,2.06326121,1.784364265,1.462139112,1.220379273,0.222321131,0.999736701
SMIM37,6.293553745,-0.941485295,0.77305892,-1.217870036,0.223273365,0.999736701
SOAT1,1.846452351,2.026750558,1.66426232,1.217807153,0.223297265,0.999736701
ABRAXAS1,1.544792235,-2.221190364,1.824741013,-1.217263353,0.223504033,0.999736701
SERP1,26.01488983,-0.496220185,0.407814343,-1.216779629,0.223688073,0.999736701
ITGB2,11.04106073,-0.721434013,0.592938402,-1.216709882,0.223714618,0.999736701
PMEPA1,1.172457722,2.519991196,2.072027202,1.216196001,0.223910267,0.999736701
TRIM23,1.111016,2.389370599,1.965588414,1.215600673,0.224137078,0.999736701
ENTR1,1.111016,2.389370599,1.965588414,1.215600673,0.224137078,0.999736701
ADPRHL2,2.035080693,-1.823392964,1.501064934,-1.214732902,0.224467979,0.999736701
B3GALT6,1.04370594,-2.419903144,1.992683295,-1.214394254,0.224597209,0.999736701
HNRNPDL,22.36823926,0.542177287,0.446596083,1.214021591,0.22473948,0.999736701
PPP2R1A,3.620945538,-1.294844204,1.067075664,-1.213451162,0.224957376,0.999736701
BRWD3,1.098401674,2.389304453,1.969559351,1.213116249,0.225085378,0.999736701
AP2S1,6.916923696,0.896636636,0.739826888,1.211954647,0.225529742,0.999736701
MDFIC,8.779207253,-0.802587581,0.662927441,-1.210671834,0.226021201,0.999736701
ARL3,3.751785126,-1.230962279,1.017473103,-1.209822918,0.22634685,0.999736701
DCPS,1.760306437,1.938181788,1.602397273,1.209551352,0.226451095,0.999736701
NKTR,7.37718257,0.881627193,0.729289504,1.20888507,0.226707003,0.999736701
RSRP1,13.79707683,0.657328835,0.545469633,1.20506953,0.228176461,0.999736701
TMED9,6.250406248,-0.968102395,0.805102448,-1.20245864,0.229185881,0.999736701
Mar-09,2.330275215,-1.608577594,1.338185256,-1.202058972,0.229340681,0.999736701
P2RY10,2.960828174,1.385814941,1.153157537,1.201756826,0.229457757,0.999736701
RIC8A,2.438023253,-1.525110483,1.269658775,-1.201197136,0.22967474,0.999736701
ANKRD17,1.116695899,2.45415264,2.045074096,1.20003116,0.230127239,0.999736701
NEDD1,1.116695899,2.45415264,2.045074096,1.20003116,0.230127239,0.999736701
SIL1,0.726804684,2.964565414,2.472170355,1.199175214,0.230459823,0.999736701
ANKS1A,0.726804684,2.964565414,2.472170355,1.199175214,0.230459823,0.999736701
RNF41,0.726804684,2.964565414,2.472170355,1.199175214,0.230459823,0.999736701
