,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
EEF1D,816.5159329,-0.373701259,0.16216207,-2.304492401,0.021195018,0.628414457
DNAJB9,62.16808095,0.772513048,0.335362804,2.303514401,0.021249918,0.628414457
CYBA,5267.360907,-0.300659593,0.13064786,-2.301297486,0.021374822,0.630444744
TAGLN2,1337.731678,-0.35937201,0.156466669,-2.296795933,0.021630414,0.63321139
CYC1,175.7927998,-0.50003671,0.217723337,-2.296661063,0.021638112,0.63321139
ACP2,117.0860378,0.602903716,0.263292631,2.289861714,0.022029334,0.642981195
TRIB3,8.166988815,2.091507794,0.914093184,2.288068472,0.022133534,0.643929464
BCKDHA,6.190449898,-2.133336555,0.933177365,-2.286099764,0.022248423,0.643929464
GBGT1,34.82137428,-0.980758236,0.429011309,-2.286089471,0.022249025,0.643929464
SLF2,63.63101333,-0.743940683,0.325524278,-2.285361597,0.022291634,0.643929464
NAP1L1,468.5093568,0.410852676,0.179863727,2.284244208,0.022357183,0.644162736
GOT2,20.87307608,1.170938003,0.513030451,2.282394741,0.022466046,0.645639586
CLIC1,2264.414799,-0.323718597,0.142095609,-2.278174531,0.022716181,0.651158459
NALCN,4.043451045,-2.877049164,1.264457486,-2.275322972,0.022886562,0.654368855
HEBP1,167.7617463,-0.524189158,0.230701406,-2.272154157,0.023077201,0.658140635
RIOK3,218.5924542,0.493512871,0.217329171,2.27080823,0.02315859,0.658785461
CTSC,4405.488884,-0.378735783,0.166956488,-2.268469993,0.023300576,0.65952069
TSC22D2,23.11799704,1.116560251,0.49221403,2.268444586,0.023302123,0.65952069
LILRA2,28.64946218,-0.99157173,0.437699512,-2.265416579,0.023487128,0.663082441
SCARB2,305.7537712,0.435145761,0.192173516,2.264337826,0.023553345,0.663281126
CLEC2B,337.9077491,0.431857073,0.191179513,2.258908736,0.023889062,0.670549443
TGOLN2,544.0915998,-0.419964055,0.185970158,-2.25823358,0.023931101,0.670549443
LRRC58,45.94824533,0.812753073,0.361834703,2.246199899,0.024691207,0.689794836
PLA2G7,30.0974644,2.420510615,1.077975674,2.245422297,0.024741035,0.689794836
TCTE3,4.170815676,-2.465980732,1.099153029,-2.243528124,0.024862778,0.691469032
TOB1,40.39267846,0.83155269,0.37099005,2.241442028,0.024997457,0.692645699
CD302,293.3678839,-0.551856663,0.246259075,-2.2409597,0.025028686,0.692645699
TMA7,807.6843023,-0.441530509,0.19733155,-2.237505905,0.025253294,0.695275169
TRIP6,91.21596351,-0.629059617,0.281217621,-2.236913946,0.025291965,0.695275169
WASHC4,104.3331847,0.609336717,0.272439852,2.236591718,0.025313037,0.695275169
PKM,880.6270649,-0.339789454,0.151983897,-2.235693783,0.025371837,0.695275169
FAM111A,85.62579062,-0.601238827,0.269567803,-2.230380704,0.025722179,0.703156555
ARHGAP18,628.3507589,-0.386913509,0.173832296,-2.225786102,0.026028512,0.706664236
ACVRL1,110.5786379,-0.577063144,0.25928197,-2.225620021,0.026039644,0.706664236
CHRNA1,1.728190574,4.500378123,2.023852839,2.223668656,0.026170746,NA
CR381653.1,2.726036359,-3.298522993,1.484565917,-2.221877086,0.026291613,0.711254264
GRHPR,146.5312077,-0.539960817,0.243161935,-2.220581181,0.026379342,0.711254264
CD3D,40.74598623,-1.038380483,0.467857227,-2.219438803,0.026456886,0.711254264
LAMTOR1,846.7723694,-0.367736725,0.165714341,-2.21910018,0.02647991,0.711254264
S100A4,10883.5541,-0.383332539,0.172795146,-2.218421919,0.026526078,0.711254264
PALLD,13.74273131,1.417751638,0.639444907,2.217159949,0.026612163,0.711648026
MYBL1,2.71958969,-3.22637272,1.455798048,-2.216222727,0.026676252,0.711648026
UBA6,60.9561473,0.723465104,0.326558888,2.215420038,0.026731247,0.711648026
AC110285.6,5.187323127,-2.532150058,1.144072912,-2.21327682,0.026878567,0.713874349
TMEM258,686.2753422,-0.411197279,0.186000414,-2.210733138,0.027054322,0.716843605
ACOT1,56.78741579,-3.321939846,1.503542899,-2.209408091,0.027146269,0.717583444
LTA4H,1449.046978,-0.443122482,0.200893402,-2.205759262,0.02740086,0.722550776
WSB1,280.489307,0.482219782,0.218706532,2.204871423,0.027463118,0.722550776
ID2,199.0075989,0.512081399,0.232433042,2.203135124,0.027585226,0.723892914
S100A9,2386.481666,-0.411123792,0.186692816,-2.202140398,0.027655393,0.723892914
MRPL38,13.45611733,-1.46982882,0.667679867,-2.201397546,0.027707893,0.723892914
SECTM1,63.95888251,-0.870634156,0.396295925,-2.196929366,0.028025491,0.726708319
AL391807.1,9.81153184,-1.604440506,0.73070834,-2.195733123,0.028111051,0.726708319
AHNAK2,2.740871299,3.642958376,1.659289157,2.19549339,0.028128225,0.726708319
FGD2,91.84350505,0.630366639,0.287195645,2.194903194,0.028170543,0.726708319
CDC42SE1,110.9560852,0.602240641,0.274424201,2.194560973,0.028195106,0.726708319
BIRC7,7.765680045,2.353007763,1.073016738,2.192890082,0.028315299,0.726708319
GMFG,972.3588317,-0.34134405,0.155713692,-2.192126119,0.028370401,0.726708319
ATP5F1E,4380.985549,-0.337934391,0.154193094,-2.19163117,0.028406149,0.726708319
HACD1,36.32853958,0.875582345,0.399657676,2.190830795,0.028464039,0.726708319
EPDR1,5.875908566,2.129892238,0.972855561,2.189320104,0.028573582,0.727847066
ZYG11B,69.95335694,0.673222057,0.307636439,2.188369034,0.028642732,0.727954061
NCF4,237.8064609,-0.463970178,0.212153509,-2.186955005,0.028745809,0.728920873
PSIP1,54.4094316,-0.737033019,0.337395581,-2.18447739,0.028927187,0.731864359
CCR7,1.652957641,-4.194584644,1.922097691,-2.182295241,0.02908775,NA
ZFAS1,566.7174695,-0.460017211,0.210890856,-2.181304676,0.029160889,0.73611541
ICA1,17.23627448,1.290689047,0.592216017,2.179422727,0.029300279,0.736980798
AMFR,73.87147853,0.696810304,0.319774591,2.179067145,0.029326681,0.736980798
AC245128.3,7.508839369,-2.451315286,1.125701973,-2.177588158,0.029436712,0.738090979
HIST1H4J,11.6848861,-2.094747274,0.962959625,-2.175322018,0.029605994,0.739396457
CCAR1,90.48989539,0.582030894,0.267891123,2.17263972,0.029807444,0.739396457
BLOC1S2,451.2956184,0.433916122,0.199778962,2.171981062,0.029857091,0.739396457
ETV7,6.944433129,2.323429957,1.069863138,2.171707647,0.029877721,0.739396457
ERCC5,8.264131422,-1.770259409,0.815251706,-2.171426807,0.029898924,0.739396457
NANS,316.6533892,-0.427050639,0.196726877,-2.17077933,0.029947857,0.739396457
TMEM230,401.2610167,0.399810048,0.18418116,2.170743457,0.02995057,0.739396457
LGMN,110.5619726,1.395156534,0.643222006,2.169012442,0.030081739,0.740397529
TMEM63A,49.77030017,0.760970443,0.351026318,2.167844413,0.030170526,0.740397529
RB1CC1,106.1663462,0.575423065,0.265465789,2.167597821,0.0301893,0.740397529
RAB8B,148.1446984,-0.489234328,0.226084352,-2.163945992,0.030468495,0.742351617
NIT1,79.93771507,-0.637863175,0.294877268,-2.16314801,0.030529798,0.742351617
BHLHE41,310.8060883,0.415017405,0.191862819,2.163094489,0.030533913,0.742351617
ABCB5,2.084126308,4.058900644,1.876453196,2.163070548,0.030535754,NA
HNRNPL,65.73476943,-0.686109786,0.317975481,-2.157744315,0.030947716,0.74715693
