,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CTSC,2135.027105,-0.369013732,0.173424948,-2.127800734,0.033353609,0.329622314
ARPC4,217.3264886,0.448541008,0.210870937,2.127087843,0.033412785,0.329622314
JRKL,8.545016314,-1.543839568,0.726277848,-2.125687259,0.033529309,NA
AL391262.1,1.571707349,-3.744414787,1.762379822,-2.124635531,0.033617037,NA
CAMP,16.34494219,-1.246698683,0.587424429,-2.122313308,0.033811437,NA
CD44,523.481813,0.350427225,0.165142323,2.121971025,0.033840171,0.329622314
NDUFA13,488.0102997,-0.412269461,0.19428745,-2.121956203,0.033841416,0.329622314
UBE2J1,65.71676851,0.592968945,0.279731716,2.119777311,0.03402483,NA
EEF1D,421.8842698,-0.39952785,0.188477403,-2.119765252,0.034025847,0.329622314
LRRC75A,71.02204326,1.497186878,0.706371243,2.119546758,0.034044287,NA
UBB,2016.9815,-0.289110971,0.136545151,-2.117328734,0.034231958,0.329622314
CTSH,413.1026528,-0.476311177,0.22500639,-2.116878447,0.034270165,0.329622314
KLF6,177.6623281,0.566225447,0.267560937,2.11624856,0.034323673,0.329622314
BANK1,2.390077518,-2.885579817,1.365478691,-2.113236799,0.034580505,NA
GPX3,15.70468106,1.180346295,0.559460856,2.109792458,0.034876236,NA
ODF3L1,9.845794563,-1.496361916,0.709275646,-2.10970435,0.03488383,NA
ERVK3-1,11.78418116,-1.229771012,0.583291347,-2.108330627,0.0350024,NA
VWA8,37.82576748,0.782533366,0.37117802,2.108242742,0.035009998,NA
RAB24,24.58202598,-1.040535059,0.493921575,-2.106680719,0.035145265,NA
FNDC3B,91.40758347,0.560215822,0.266075938,2.105473446,0.035250116,0.336461184
SRGN,1333.283921,0.391649928,0.186194903,2.103440648,0.035427268,0.336461184
OST4,617.374286,-0.473045743,0.225684474,-2.096049116,0.036077834,0.338895066
NEIL2,16.87455293,-1.045663389,0.498893779,-2.095963976,0.036085387,NA
GZMM,4.383354443,-2.064645894,0.98621171,-2.093511841,0.036303488,NA
HSP90AB1,996.5623286,-0.33355475,0.15935106,-2.093206979,0.036330682,0.339415447
FAM71D,3.131378464,-2.493594626,1.192001942,-2.091938391,0.036444027,NA
AC244090.1,66.04818012,0.644522263,0.308182099,2.091368266,0.036495065,NA
LAMTOR1,536.535568,-0.342856251,0.164247524,-2.087436343,0.03684871,0.341069898
ARHGAP24,21.75175286,-1.058568577,0.50712955,-2.087373094,0.036854422,NA
CSNK1G2,27.98297672,0.878584441,0.421242805,2.085696019,0.037006167,NA
AC017083.1,2.635898872,-3.050871628,1.462976634,-2.085386436,0.037034237,NA
MSMO1,121.9920267,1.332667101,0.639199897,2.084898804,0.037078487,0.341069898
Sep-04,9.76120266,-1.319610857,0.633108221,-2.08433695,0.037129529,NA
FABP5,1711.300153,0.39597356,0.189979885,2.084292027,0.037133612,0.341069898
SQSTM1,283.6014325,-0.46396803,0.222799162,-2.082449622,0.03730142,0.341069898
RRP1,16.51146729,1.092017956,0.526150807,2.07548471,0.037941635,NA
MYH9,109.7528384,0.48733949,0.234846645,2.075139245,0.037973631,0.343561434
PHF20L1,47.82322526,0.706307129,0.340645249,2.073438952,0.038131447,NA
ABL2,13.03725686,1.222373814,0.589948254,2.072001749,0.038265278,NA
ALDOA,56.02166244,-0.710084736,0.343109336,-2.069558187,0.038493737,NA
SERINC2,34.04645474,0.770759747,0.37243448,2.069517698,0.038497532,NA
UBAP2,21.78426572,0.935825951,0.452771858,2.066881887,0.038745285,NA
PPP5C,8.59310043,1.616491834,0.782932034,2.064664317,0.038954773,NA
AL359513.1,1.144454769,-4.215060199,2.043220687,-2.062949062,0.039117468,NA
MED14OS,9.225023164,1.609841601,0.781220486,2.060675099,0.039334047,NA
TRPV2,129.5153754,0.458996011,0.222776434,2.060343647,0.0393657,0.34881257
ATF3,6.462818328,1.96884571,0.956859099,2.057612988,0.039627299,NA
LINC01094,61.95403762,0.637620836,0.310210561,2.055445292,0.039836015,NA
PRKAR2A,36.22329736,0.753540558,0.366618752,2.055379204,0.039842393,NA
AP4B1,7.75780448,-1.487697975,0.724055762,-2.054673206,0.03991058,NA
FMO5,6.621155751,-1.621829119,0.790063026,-2.052784482,0.040093484,NA
PLEKHA2,21.38419455,0.969422759,0.473008764,2.0494816,0.040415045,NA
CD151,299.0289392,0.403233785,0.196871324,2.048209852,0.040539442,0.357370769
TSPAN4,51.27545145,-0.841515925,0.410871161,-2.048126045,0.04054765,NA
MVB12B,3.608944398,-2.290297598,1.118250115,-2.04810853,0.040549366,NA
ZRSR2,31.88693902,-0.744968081,0.364259225,-2.045159137,0.040839172,NA
ATP6V1D,118.404741,0.499083499,0.244279448,2.043084281,0.041044096,0.359973472
NBPF3,1.631061598,-3.75003121,1.835965523,-2.042539015,0.041098093,NA
