,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ADGRE3,3.511268243,-1.684072398,1.062266635,-1.585357521,0.112885127,NA
CTSZ,487.4034447,0.329829457,0.208098559,1.584967517,0.112973715,0.407411459
LINC02256,1.705487006,-2.45957847,1.552282089,-1.584491948,0.113081813,NA
NAA20,56.1499448,-0.528809254,0.334668936,-1.580096619,0.114084741,NA
CCNG1,7.630165141,1.173247311,0.742582291,1.579955952,0.114116954,NA
CAPRIN2,2.256480503,2.179447115,1.380877153,1.578306304,0.114495258,NA
HCST,118.0349291,-0.504543658,0.319840434,-1.577485534,0.114683848,0.408432479
MROH1,2.682365045,1.947531476,1.234926394,1.577042555,0.114785734,NA
AIF1,399.9833281,-0.364266602,0.231035573,-1.576668898,0.11487173,0.408432479
HERPUD2,6.014935757,1.325714987,0.841232933,1.57591903,0.115044465,NA
ACSS2,3.35857957,1.889858826,1.200129311,1.574712666,0.115322783,NA
KLF4,6.92040152,1.215172145,0.772361857,1.573319725,0.115644804,NA
AC013394.1,2.62749667,-1.975770399,1.256034246,-1.573022715,0.115713559,NA
KIF5B,33.42639989,0.634268839,0.403241967,1.57292368,0.115736491,NA
AP3S1,16.57975442,0.813055213,0.517295528,1.571742203,0.11601035,NA
MOCOS,2.393140554,-2.772288722,1.765015528,-1.570688007,0.116255136,NA
LRRC47,2.760425184,1.987115134,1.266061128,1.569525428,0.116525559,NA
CTSS,616.7235081,-0.394363698,0.251533093,-1.567840214,0.116918427,0.408432479
TNFSF12,36.95946122,-0.58482493,0.373129249,-1.567352147,0.117032403,NA
ZDHHC24,8.448496025,1.129167724,0.720649916,1.56687415,0.117144111,NA
ADAM17,26.48936213,0.679825164,0.433979151,1.566492682,0.117233321,NA
ZCRB1,22.68993373,0.736200195,0.469978097,1.566456394,0.117241809,NA
PRPS2,8.065566087,1.136122412,0.725490663,1.566005561,0.117347315,NA
C1QA,1355.248077,0.287940692,0.183964483,1.565197194,0.117536679,0.408432479
NDUFV2,80.24736151,0.519064206,0.331765142,1.564553176,0.117687715,0.408432479
DDX60,9.193325071,1.057154844,0.676555543,1.562554406,0.11815744,NA
CALR,147.488428,0.395736519,0.253380064,1.561829738,0.118328104,0.408432479
ZNF708,4.421918256,-1.482883307,0.949597782,-1.561590955,0.118384382,NA
NEMF,13.32732476,0.874226145,0.560066452,1.560932891,0.118539586,NA
TARBP1,2.239734747,2.138361593,1.370606776,1.560156881,0.118722812,NA
LY86,69.20507591,-0.569156873,0.365539277,-1.557033425,0.11946255,0.408432479
FTH1,15709.39843,-0.372518735,0.239355803,-1.556338852,0.119627537,0.408432479
PSMD9,15.75160675,-0.80191878,0.515499787,-1.555614182,0.119799864,NA
DNAJC4,10.84253979,-0.933328381,0.600874457,-1.553283502,0.12035542,NA
MDK,13.64896637,0.874336218,0.563072306,1.552795634,0.120471966,NA
UBE2S,10.7727716,0.978397722,0.631202611,1.550053351,0.121128711,NA
P2RY1,4.932496015,-1.521711961,0.982032312,-1.549553862,0.121248634,NA
AP2S1,127.5236717,0.413982614,0.267631908,1.54683579,0.121902848,0.413752606
